"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 21","1,292.53","1,277.80","1,308.86","1,270.78","-","1.15%"
"Jul 21","1,277.80","1,374.57","1,374.60","1,243.17","-","-7.04%"
"Jun 21","1,374.64","1,377.58","1,395.02","1,344.03","-","-0.11%"
"May 21","1,376.21","1,346.51","1,377.25","1,290.43","-","2.12%"
"Apr 21","1,347.61","1,319.17","1,373.92","1,314.75","-","2.37%"
"Mar 21","1,316.43","1,337.86","1,383.35","1,286.50","-","-1.70%"
"Feb 21","1,339.26","1,328.16","1,449.38","1,326.20","-","0.73%"
"Jan 21","1,329.57","1,291.53","1,414.33","1,289.75","-","2.97%"
"Dec 20","1,291.26","1,205.51","1,294.88","1,205.51","-","7.15%"
"Nov 20","1,205.07","1,102.82","1,233.20","1,102.44","-","9.21%"
"Oct 20","1,103.46","1,083.01","1,140.68","1,080.83","-","1.98%"
"Sep 20","1,082.00","1,102.18","1,124.37","1,053.02","-","-1.77%"
"Aug 20","1,101.50","1,077.94","1,129.02","1,073.93","-","2.09%"
"Jul 20","1,078.92","996.55","1,092.29","996.46","-","8.42%"
"Jun 20","995.10","933.37","1,021.18","933.35","-","6.96%"
"May 20","930.35","921.08","934.78","886.94","-","0.58%"
"Apr 20","924.94","847.81","932.12","821.76","-","9.00%"
"Mar 20","848.58","1,006.69","1,048.80","751.76","-","-15.61%"
"Feb 20","1,005.52","1,059.92","1,112.73","998.59","-","-5.35%"
"Jan 20","1,062.34","1,115.30","1,150.91","1,059.74","-","-4.69%"
"Dec 19","1,114.66","1,040.08","1,121.78","1,031.13","-","7.17%"
"Nov 19","1,040.05","1,040.59","1,075.62","1,038.67","-","-0.19%"
"Oct 19","1,041.98","1,000.99","1,048.27","986.43","-","4.09%"
"Sep 19","1,001.00","983.09","1,029.38","973.27","-","1.69%"
"Aug 19","984.33","1,033.60","1,033.60","956.59","-","-5.08%"
"Jul 19","1,037.01","1,055.71","1,066.46","1,031.22","-","-1.69%"
"Jun 19","1,054.86","997.65","1,056.87","996.98","-","5.70%"
"May 19","998.00","1,080.89","1,084.52","982.35","-","-7.53%"
"Apr 19","1,079.24","1,057.97","1,099.18","1,057.97","-","2.00%"
"Mar 19","1,058.13","1,050.59","1,075.35","1,027.54","-","0.68%"
"Feb 19","1,050.95","1,050.20","1,070.25","1,029.01","-","0.10%"
"Jan 19","1,049.93","966.88","1,052.04","945.51","-","8.73%"
"Dec 18","965.67","997.56","1,020.18","945.28","-","-2.92%"
"Nov 18","994.72","955.31","1,007.31","954.12","-","4.06%"
"Oct 18","955.92","1,047.44","1,048.93","929.90","-","-8.78%"
"Sep 18","1,047.91","1,055.70","1,055.70","998.67","-","-0.76%"
"Aug 18","1,055.96","1,087.62","1,090.73","1,014.20","-","-2.90%"
"Jul 18","1,087.46","1,068.59","1,096.26","1,045.67","-","1.68%"
"Jun 18","1,069.52","1,119.96","1,156.04","1,038.66","-","-4.57%"
"May 18","1,120.71","1,161.69","1,170.60","1,110.44","-","-3.75%"
"Apr 18","1,164.43","1,173.62","1,186.60","1,137.25","-","-0.55%"
"Mar 18","1,170.87","1,192.52","1,228.48","1,159.46","-","-2.03%"
"Feb 18","1,195.19","1,253.77","1,258.55","1,136.27","-","-4.73%"
"Jan 18","1,254.59","1,159.53","1,278.53","1,157.55","-","8.30%"
"Dec 17","1,158.45","1,120.48","1,160.06","1,098.10","-","3.36%"
"Nov 17","1,120.79","1,119.94","1,160.66","1,110.92","-","0.15%"
"Oct 17","1,119.08","1,082.30","1,132.45","1,081.28","-","3.45%"
"Sep 17","1,081.72","1,088.43","1,114.09","1,071.79","-","-0.55%"
"Aug 17","1,087.70","1,065.83","1,088.83","1,039.97","-","2.01%"
"Jul 17","1,066.23","1,011.02","1,072.50","1,001.69","-","5.48%"
"Jun 17","1,010.80","1,006.36","1,023.17","1,000.05","-","0.54%"
"May 17","1,005.33","978.77","1,018.50","972.95","-","2.80%"
"Apr 17","977.96","960.40","986.26","950.99","-","2.04%"
"Mar 17","958.37","934.50","979.75","920.59","-","2.35%"
"Feb 17","936.37","911.05","956.64","909.10","-","2.98%"
"Jan 17","909.23","860.73","918.90","858.02","-","5.45%"
"Dec 16","862.27","860.96","879.69","840.27","-","-0.06%"
"Nov 16","862.83","904.25","908.71","837.12","-","-4.67%"
"Oct 16","905.09","904.01","920.24","888.20","-","0.18%"
"Sep 16","903.46","893.10","929.99","882.04","-","1.09%"
"Aug 16","893.68","874.56","919.43","865.38","-","2.31%"
"Jul 16","873.47","833.54","877.02","817.24","-","4.72%"
"Jun 16","834.10","807.41","844.50","792.31","-","3.30%"
"May 16","807.45","839.24","839.50","780.68","-","-3.90%"
"Apr 16","840.19","835.49","855.78","804.11","-","0.41%"
"Mar 16","836.80","738.96","838.53","738.96","-","13.03%"
"Feb 16","740.33","742.38","751.64","707.54","-","-0.27%"
"Jan 16","742.37","794.02","794.34","686.74","-","-6.52%"
"Dec 15","794.14","815.11","826.94","765.93","-","-2.48%"
"Nov 15","814.30","848.37","872.78","811.17","-","-3.96%"
"Oct 15","847.84","792.51","870.86","792.25","-","7.04%"
"Sep 15","792.05","819.12","833.59","769.72","-","-3.26%"
"Aug 15","818.73","900.07","900.07","762.71","-","-9.20%"
"Jul 15","901.68","971.74","976.00","888.00","-","-7.26%"
"Jun 15","972.25","1,003.26","1,006.64","956.96","-","-3.18%"
"May 15","1,004.22","1,047.28","1,049.20","1,003.38","-","-4.16%"
"Apr 15","1,047.78","974.58","1,069.13","972.85","-","7.51%"
"Mar 15","974.57","990.86","993.22","936.40","-","-1.59%"
"Feb 15","990.28","959.90","997.74","957.61","-","2.98%"
"Jan 15","961.61","956.67","994.06","929.27","-","0.55%"
